Education_years,ResidRegion,Race1,Race2,Gender,MaritalStatus,PotLbrMktExp_years,UnionStatus,Wages_dollars
11,South,Otherwise,Otherwise,Female,Married,17,Otherwise,3.5
14,South,Otherwise,Otherwise,Male,Married,14,Union job,11
12,Not South,Otherwise,Otherwise,Male,Otherwise,3,Otherwise,7.5
12,Not South,Otherwise,Otherwise,Male,Married,13,Otherwise,8.5
12,Not South,Otherwise,Otherwise,Male,Otherwise,11,Otherwise,12.5
12,Not South,Otherwise,Otherwise,Male,Married,24,Union job,10.75
12,Not South,Otherwise,Otherwise,Female,Married,14,Union job,12.5
17,Not South,Otherwise,Otherwise,Male,Married,7,Otherwise,7.8
17,Not South,Otherwise,Otherwise,Male,Married,13,Otherwise,12
12,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,10,Otherwise,3.35
12,South,Otherwise,Otherwise,Male,Married,13,Union job,19.88
13,South,Otherwise,Otherwise,Male,Married,7,Otherwise,6
8,South,Otherwise,Otherwise,Female,Married,39,Otherwise,4.22
14,South,Otherwise,Otherwise,Female,Married,6,Otherwise,3.5
12,South,Otherwise,Otherwise,Male,Married,20,Union job,12
12,Not South,Otherwise,Otherwise,Female,Married,7,Otherwise,3.35
12,Not South,Otherwise,Otherwise,Male,Married,20,Union job,9
14,Not South,Otherwise,Otherwise,Female,Otherwise,6,Otherwise,3.98
12,Not South,Otherwise,Otherwise,Female,Married,39,Otherwise,5
16,Not South,Otherwise,Otherwise,Male,Married,15,Otherwise,12.67
15,Not South,Otherwise,Otherwise,Male,Married,31,Otherwise,17.25
12,Not South,Otherwise,Otherwise,Female,Otherwise,25,Otherwise,9.5
11,Not South,Otherwise,Otherwise,Male,Married,13,Union job,14
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,8,Union job,8.5
12,Not South,Otherwise,Otherwise,Female,Married,2,Otherwise,4.25
16,Not South,Otherwise,Otherwise,Male,Married,14,Otherwise,5.8
13,Not South,Otherwise,Otherwise,Male,Married,14,Otherwise,11.25
18,Not South,Otherwise,Otherwise,Female,Married,18,Union job,12
12,Not South,Otherwise,Otherwise,Female,Married,28,Otherwise,11.25
16,Not South,Otherwise,Otherwise,Male,Married,10,Union job,7.5
14,South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,17,Otherwise,8.2
12,South,Otherwise,Otherwise,Female,Married,14,Otherwise,4.85
12,South,Otherwise,Otherwise,Female,Married,2,Otherwise,4.75
16,South,Otherwise,Otherwise,Male,Married,29,Otherwise,5.5
11,South,Otherwise,Otherwise,Male,Married,29,Otherwise,9.5
12,South,Otherwise,Otherwise,Female,Married,14,Otherwise,9.6
13,Not South,Otherwise,Otherwise,Female,Married,33,Otherwise,4.55
16,Not South,Otherwise,Otherwise,Male,Married,4,Otherwise,15.73
15,Not South,Otherwise,Otherwise,Male,Married,13,Otherwise,9.86
14,Not South,Otherwise,Otherwise,Female,Otherwise,24,Otherwise,10
13,Not South,Otherwise,Otherwise,Male,Otherwise,5,Otherwise,5.8
14,South,Otherwise,Otherwise,Male,Otherwise,1,Otherwise,7.53
11,South,Otherwise,Otherwise,Male,Married,37,Union job,9.75
11,South,Otherwise,Otherwise,Male,Married,18,Union job,13
15,South,Otherwise,Otherwise,Female,Married,10,Otherwise,10.28
12,South,Otherwise,Otherwise,Male,Married,16,Union job,13.45
12,Not South,Otherwise,Otherwise,Male,Married,12,Union job,12.57
14,Not South,Otherwise,Otherwise,Female,Otherwise,4,Otherwise,8.63
12,Not South,Otherwise,Otherwise,Male,Married,16,Union job,13.26
14,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,34,Union job,6.85
13,Not South,Otherwise,Otherwise,Male,Married,10,Union job,12.47
14,Not South,Otherwise,Otherwise,Male,Married,17,Otherwise,7.14
13,Not South,Otherwise,Otherwise,Female,Married,16,Otherwise,12.5
10,Not South,Otherwise,Otherwise,Male,Married,20,Otherwise,10
10,Not South,Otherwise,Otherwise,Male,Married,12,Otherwise,10
12,Not South,Otherwise,Otherwise,Male,Married,30,Otherwise,8.75
16,Not South,Otherwise,Otherwise,Female,Married,26,Otherwise,9.37
13,Not South,Otherwise,Otherwise,Male,Married,13,Otherwise,11.11
8,Not South,Otherwise,Hispanic,Female,Married,21,Otherwise,5.1
11,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,3,Otherwise,7.5
8,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,29,Otherwise,3.4
12,Not South,Otherwise,Otherwise,Female,Married,3,Otherwise,4.5
18,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,27,Otherwise,6.25
12,Not South,Otherwise,Otherwise,Male,Married,33,Otherwise,20.55
13,Not South,Otherwise,Otherwise,Male,Otherwise,17,Otherwise,8.4
12,Not South,Otherwise,Otherwise,Female,Married,15,Otherwise,8
9,Not South,Otherwise,Otherwise,Male,Married,38,Otherwise,8.5
12,Not South,Otherwise,Otherwise,Male,Otherwise,9,Otherwise,3.75
12,Not South,Otherwise,Otherwise,Male,Married,10,Otherwise,9
16,Not South,Otherwise,Otherwise,Female,Otherwise,6,Otherwise,12.05
12,Not South,Otherwise,Otherwise,Female,Married,7,Otherwise,4.5
9,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,16,Otherwise,4.8
10,Not South,Otherwise,Otherwise,Male,Married,30,Otherwise,6.5
12,Not South,Otherwise,Otherwise,Male,Married,19,Otherwise,7.69
12,Not South,Otherwise,Otherwise,Female,Otherwise,15,Otherwise,9.33
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,12,Otherwise,5
12,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,33,Otherwise,6.1
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,36,Otherwise,10.67
12,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Otherwise,25,Otherwise,3.5
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,35,Union job,10
13,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,8,Union job,9
12,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,23,Otherwise,7.5
18,South,Otherwise,Otherwise,Male,Otherwise,7,Otherwise,5.71
17,South,Otherwise,Otherwise,Male,Otherwise,3,Otherwise,8.5
12,South,Nonwhite and non-Hispanic,Otherwise,Male,Married,8,Otherwise,4
9,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,34,Union job,5.75
12,Not South,Otherwise,Otherwise,Male,Otherwise,2,Otherwise,5.25
12,Not South,Otherwise,Otherwise,Male,Married,34,Otherwise,3.5
11,Not South,Otherwise,Otherwise,Male,Otherwise,2,Otherwise,4.5
12,Not South,Otherwise,Otherwise,Female,Otherwise,11,Otherwise,5.5
13,Not South,Otherwise,Otherwise,Female,Married,4,Otherwise,6.25
16,Not South,Otherwise,Otherwise,Female,Married,22,Union job,8.89
12,Not South,Otherwise,Otherwise,Female,Married,45,Otherwise,5.25
14,Not South,Otherwise,Otherwise,Female,Married,26,Otherwise,10.25
14,Not South,Otherwise,Otherwise,Female,Married,12,Otherwise,6.25
12,Not South,Otherwise,Otherwise,Female,Married,3,Otherwise,4.35
13,Not South,Otherwise,Otherwise,Male,Otherwise,36,Otherwise,17.86
12,Not South,Otherwise,Otherwise,Female,Married,9,Union job,7.5
16,Not South,Otherwise,Otherwise,Female,Married,7,Otherwise,6.25
14,Not South,Otherwise,Otherwise,Male,Married,14,Otherwise,4.5
12,Not South,Otherwise,Otherwise,Female,Otherwise,6,Otherwise,6.4
15,Not South,Otherwise,Otherwise,Male,Married,1,Union job,4.84
11,Not South,Otherwise,Otherwise,Male,Married,4,Otherwise,4.15
12,Not South,Otherwise,Otherwise,Female,Married,5,Otherwise,5.13
8,Not South,Otherwise,Otherwise,Female,Married,38,Otherwise,5.26
16,Not South,Otherwise,Otherwise,Female,Married,6,Otherwise,7.78
13,Not South,Otherwise,Otherwise,Male,Otherwise,9,Union job,13.07
13,Not South,Otherwise,Otherwise,Female,Married,15,Otherwise,8
15,Not South,Otherwise,Otherwise,Female,Married,11,Otherwise,7.67
12,Not South,Otherwise,Otherwise,Male,Otherwise,17,Otherwise,7.5
12,Not South,Otherwise,Otherwise,Male,Otherwise,1,Otherwise,2.85
12,Not South,Otherwise,Otherwise,Male,Married,9,Otherwise,6.36
9,Not South,Otherwise,Otherwise,Male,Otherwise,48,Otherwise,3.5
12,Not South,Otherwise,Otherwise,Male,Married,17,Union job,11.35
12,Not South,Otherwise,Otherwise,Female,Married,33,Otherwise,5.5
12,Not South,Otherwise,Otherwise,Male,Married,7,Otherwise,9.15
14,Not South,Otherwise,Otherwise,Female,Married,12,Otherwise,7.96
16,Not South,Otherwise,Otherwise,Female,Married,6,Otherwise,5.65
16,South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,16,Otherwise,13.45
11,South,Otherwise,Otherwise,Female,Married,8,Otherwise,3.65
9,South,Otherwise,Otherwise,Male,Otherwise,30,Union job,6.25
13,South,Otherwise,Otherwise,Male,Otherwise,1,Union job,5.15
17,South,Otherwise,Otherwise,Male,Married,32,Otherwise,26.29
13,South,Otherwise,Otherwise,Male,Otherwise,0,Otherwise,2.01
12,South,Otherwise,Otherwise,Female,Otherwise,26,Otherwise,5
11,Not South,Otherwise,Otherwise,Female,Otherwise,36,Otherwise,8.75
14,Not South,Otherwise,Otherwise,Female,Married,19,Otherwise,12.5
12,Not South,Otherwise,Otherwise,Male,Otherwise,12,Otherwise,4
16,Not South,Otherwise,Otherwise,Male,Married,21,Otherwise,4.5
12,Not South,Otherwise,Otherwise,Female,Otherwise,11,Otherwise,6.5
12,Not South,Otherwise,Otherwise,Male,Married,10,Otherwise,5.5
17,Not South,Otherwise,Otherwise,Female,Married,15,Otherwise,6.88
16,Not South,Otherwise,Otherwise,Female,Otherwise,16,Otherwise,6.15
12,Not South,Otherwise,Otherwise,Male,Married,23,Otherwise,7.78
17,Not South,Otherwise,Otherwise,Female,Married,13,Union job,12.5
14,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,19,Union job,8.85
11,Not South,Otherwise,Otherwise,Female,Married,20,Otherwise,4.35
18,Not South,Otherwise,Otherwise,Male,Otherwise,5,Otherwise,11.36
8,Not South,Otherwise,Hispanic,Male,Married,47,Union job,8.93
11,Not South,Otherwise,Otherwise,Female,Married,33,Otherwise,3.5
14,Not South,Otherwise,Otherwise,Male,Married,21,Union job,26
12,Not South,Otherwise,Otherwise,Female,Married,19,Otherwise,8
14,Not South,Otherwise,Otherwise,Male,Married,20,Union job,16
12,Not South,Otherwise,Otherwise,Female,Married,13,Otherwise,5.35
17,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,25,Union job,23.25
12,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,18,Otherwise,8.63
14,Not South,Otherwise,Otherwise,Female,Otherwise,13,Otherwise,18.5
18,Not South,Otherwise,Otherwise,Male,Married,8,Otherwise,22.2
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,14,Union job,16.26
12,Not South,Otherwise,Otherwise,Male,Otherwise,9,Otherwise,19.47
